Displacement/μm - ,Load/N - 
166.18,124.438
166.2,124.438
166.2,124.438
166.18,124.438
166.16,124.438
166.18,124.438
166.18,124.438
166.2,124.438
166.2,124.438
166.18,124.438
166.18,124.438
166.2,124.403
166.18,124.438
166.18,124.403
166.2,124.403
166.16,124.403
166.18,124.403
166.18,124.403
166.18,124.403
166.18,124.403
166.18,124.403
166.18,124.403
166.18,124.403
166.18,124.403
166.2,124.403
166.2,124.403
166.18,124.403
166.18,124.403
166.18,124.403
166.2,124.403
166.18,124.403
166.18,124.403
166.18,124.403
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.403
166.18,124.403
166.18,124.368
166.18,124.368
166.2,124.403
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.368
166.18,124.368
166.2,124.333
166.18,124.368
166.2,124.333
166.18,124.333
166.18,124.333
166.2,124.333
166.16,124.333
166.18,124.333
166.2,124.333
166.18,124.333
166.2,124.333
166.18,124.333
166.2,124.333
166.18,124.333
166.18,124.333
166.18,124.333
166.18,124.333
166.2,124.333
166.18,124.333
166.18,124.333
166.2,124.333
166.2,124.333
166.18,124.333
166.18,124.333
166.18,124.333
166.18,124.333
166.18,124.333
166.18,124.333
166.2,124.298
166.18,124.333
166.2,124.298
166.18,124.298
166.18,124.298
166.2,124.298
166.18,124.298
166.18,124.298
166.18,124.333
166.18,124.298
166.18,124.298
166.18,124.298
166.18,124.298
166.18,124.298
166.2,124.298
166.2,124.298
166.2,124.298
166.2,124.298
166.18,124.298
166.18,124.298
166.18,124.298
166.18,124.298
166.2,124.298
166.18,124.298
166.16,124.298
166.18,124.298
166.18,124.298
166.2,124.298
166.18,124.298
166.16,124.298
166.18,124.298
166.18,124.298
166.18,124.298
166.2,124.298
166.18,124.263
166.18,124.298
166.2,124.298
166.2,124.298
166.18,124.298
166.18,124.298
166.2,124.298
166.18,124.263
166.18,124.263
166.2,124.263
166.2,124.263
166.18,124.263
166.2,124.263
166.18,124.263
166.18,124.263
166.18,124.263
166.2,124.263
166.2,124.263
166.18,124.263
166.18,124.263
166.2,124.298
166.18,124.298
166.2,124.298
166.2,124.298
166.2,124.298
166.18,124.298
166.18,124.298
166.18,124.298
166.2,124.298
166.18,124.298
166.18,124.298
166.2,124.298
166.18,124.298
166.2,124.298
166.2,124.298
166.2,124.298
166.2,124.298
166.2,124.298
166.2,124.298
166.2,124.298
166.2,124.298
166.2,124.298
166.18,124.298
166.18,124.298
166.2,124.298
166.2,124.298
166.2,124.298
166.2,124.298
166.2,124.298
166.2,124.298
166.2,124.298
166.2,124.298
166.2,124.298
166.2,124.298
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.298
166.2,124.298
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.298
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.22,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.263
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.263
166.2,124.228
166.18,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
